user_id,product_id,interaction_type,interaction_score,rating,review_sentiment,timestamp,session_id
94,157,view,1,,,2025-03-15 06:37:14,df48328bb8ff
54,37,view,1,,,2024-03-01 10:25:15,17cccd31bb2c
122,153,view,1,,,2025-11-18 15:33:56,972dbf540e21
494,187,view,1,,,2024-07-24 23:55:05,9d809001af30
108,71,view,1,,,2025-09-03 07:06:58,a592483eee60
56,13,view,1,,,2025-07-23 00:21:53,62f4309ccd1b
215,106,view,1,,,2024-10-21 03:42:50,2af9946c1618
180,40,add_to_cart,3,,,2025-03-24 23:44:07,726d7285991f
334,58,view,1,,,2024-02-27 06:02:33,6a93fdd70ccb
410,76,view,1,,,2024-07-21 19:46:23,a4ce0087a433
488,22,view,1,,,2024-10-18 15:02:32,54ad3ed3db90
83,141,purchase,5,5,positive,2024-09-19 11:51:19,89698a27c00a
305,124,click,2,,,2024-12-01 00:26:58,2591e9613972
483,156,add_to_cart,3,2,negative,2024-06-08 15:44:18,0f5025cc8d01
499,116,click,2,,,2024-08-18 23:56:59,6db0100378c1
122,158,click,2,,,2025-10-14 08:01:21,99e9114bf048
252,123,view,1,,,2024-03-09 01:30:39,2cc47af78e22
151,161,click,2,,,2024-06-04 02:12:29,ad97f3c536ef
50,110,click,2,,,2024-03-04 15:23:58,ec80ee43d0a3
243,79,click,2,,,2024-12-31 19:02:27,4cf4342cdfff
251,68,view,1,,,2025-02-26 15:14:39,fba407f1019f
199,25,view,1,,,2024-12-12 05:51:12,e500fe95d93e
23,195,view,1,,,2025-10-12 04:16:44,3ca4b996cb0d
138,76,click,2,,,2025-06-02 10:30:50,8b62c9f23363
50,122,add_to_cart,3,,,2025-08-10 13:22:42,4675b4326919
302,136,add_to_cart,3,,,2024-11-21 03:52:02,f3315d64a875
495,163,click,2,,,2024-07-02 00:41:08,c01b1443fa26
244,92,add_to_cart,3,,,2025-01-24 23:50:59,5bbf86d97355
293,147,click,2,,,2025-04-26 18:43:44,293e5c1b356d
76,161,view,1,,,2024-05-09 20:10:38,2cf7d38fdd99
498,79,view,1,,,2024-11-24 20:16:48,c238a05d8e2a
41,112,view,1,,,2025-09-30 21:42:17,a5903e1730fb
322,17,view,1,,,2025-07-18 18:10:56,21870b7d95df
469,23,view,1,,,2024-11-04 15:14:02,54f0d48b1c7a
283,84,click,2,,,2025-12-13 09:08:13,29e4643d6e4a
448,159,view,1,,,2024-04-26 05:32:06,e0e8dc5ce510
76,139,purchase,5,4,positive,2024-03-19 10:35:53,5743519e87df
403,56,add_to_cart,3,4,positive,2025-03-20 07:17:09,9966ea91f855
312,177,view,1,,,2024-04-21 17:36:29,05f8d6bb1ab9
317,178,view,1,,,2024-11-03 10:06:41,0fb74ea86b49
456,177,view,1,,,2025-08-02 05:47:03,bfa4a951ad63
244,96,view,1,,,2025-09-26 21:10:40,2d26a1c5db9b
407,84,add_to_cart,3,,,2025-06-15 22:34:01,b0b6b3d237e6
51,59,view,1,,,2025-07-31 16:00:48,f283be1b71fc
227,83,view,1,,,2024-11-19 17:12:24,55cd80dcfd5e
310,49,view,1,,,2025-12-10 11:37:17,48f20be44709
422,98,click,2,,,2025-11-04 13:34:26,67723eea5565
192,132,click,2,,,2024-02-20 23:11:20,d12ba8414e47
160,104,view,1,,,2025-10-23 05:17:43,b5974ea98342
269,8,view,1,,,2025-11-10 18:32:52,3415830e0d52
427,103,view,1,,,2024-12-20 12:49:11,a550e9b6a863
26,181,view,1,,,2024-10-13 02:34:39,1bf1e0f0af14
422,92,click,2,,,2024-04-06 05:09:26,39b88dfe7e2a
349,189,view,1,,,2024-12-12 11:58:14,f876ab91be6e
91,122,click,2,,,2024-09-28 15:59:49,14975a2ebb84
177,83,click,2,,,2025-06-19 01:06:17,0f91b47cff7f
47,58,view,1,,,2025-10-25 04:22:59,fd598b943bc0
293,55,add_to_cart,3,,,2025-06-10 09:09:18,658bfd9aed96
106,93,click,2,,,2025-11-02 13:52:12,3a32960bd986
400,175,view,1,,,2025-12-08 23:52:45,eae61addb108
68,154,add_to_cart,3,4,positive,2024-08-25 06:10:53,2cb049a80205
365,165,view,1,,,2025-11-26 13:00:45,b3083d0fc918
193,118,view,1,,,2024-12-28 11:52:53,eb8760aa6a8f
155,160,view,1,,,2024-03-20 11:14:09,227a47ce9eed
4,156,click,2,,,2025-04-06 04:43:20,17a9b40b7056
312,172,view,1,,,2024-09-18 04:46:53,5e5a544207c8
142,71,view,1,,,2025-07-06 07:44:55,45d623f5e8c7
488,77,view,1,,,2025-02-05 19:03:04,51f408e81a98
392,169,add_to_cart,3,,,2025-04-11 01:25:53,dda0d0d688b6
207,175,view,1,,,2024-01-20 18:31:14,810186d046e0
336,118,view,1,,,2024-11-21 02:37:47,ee850ac62f3d
208,102,click,2,,,2025-03-20 07:38:37,793f6bccc02f
418,48,click,2,,,2025-05-10 19:01:39,1e0bb296fd66
402,23,click,2,,,2025-10-18 15:45:25,ab9a6fcc1d25
88,143,view,1,,,2024-03-16 19:27:10,3ffda7d9e548
242,149,click,2,,,2025-03-10 05:06:19,e1d64d782f99
391,175,add_to_cart,3,,,2024-06-21 15:06:20,dc9a789cea83
182,152,view,1,,,2025-11-19 19:57:43,836fdbf762b6
170,151,view,1,,,2024-04-01 11:36:20,01c9ea4940f3
241,5,view,1,,,2024-05-31 02:33:33,fe7e1631bff9
257,25,click,2,,,2024-11-16 20:52:38,3b93b1d21d4f
28,39,view,1,,,2024-06-04 13:47:56,6646bf96d5d4
176,30,view,1,,,2025-10-31 20:11:17,73a24a0f7f63
367,39,view,1,,,2025-05-05 03:18:12,c28738aaaef0
91,103,view,1,,,2024-07-31 10:55:44,d23be0908a55
108,44,click,2,,,2024-05-03 01:26:40,f92af5c4a45e
251,200,view,1,,,2025-04-22 06:43:57,020d0fe9987e
223,104,view,1,,,2025-01-05 19:23:10,badd8f9ea5ab
197,13,click,2,,,2024-01-11 22:24:59,d7010dc31574
457,145,view,1,,,2024-01-04 04:52:25,d1bfdf46f587
321,58,click,2,,,2024-09-24 11:08:42,1cf8b42b35ee
160,58,click,2,,,2024-08-25 18:23:56,280ac59e6075
86,168,view,1,,,2024-08-13 21:25:22,233fc72cd364
234,153,click,2,,,2024-12-02 20:06:20,59c62bfddd0d
455,35,view,1,,,2025-12-01 03:00:41,626c5ef9967b
251,13,view,1,,,2025-12-05 09:44:01,13931d88db1c
471,5,view,1,,,2025-07-18 19:24:33,260305946e9f
68,35,click,2,,,2024-05-11 06:06:14,74f06c852ff6
64,3,view,1,,,2025-05-12 08:27:00,d5195da708e7
131,160,view,1,,,2024-02-07 06:02:46,0cbd02c2695b
339,2,view,1,,,2024-03-30 22:28:43,5e9a96a6f814
214,173,click,2,,,2025-01-03 11:23:19,07c90829262e
360,100,view,1,,,2025-05-28 22:19:18,4e005b55ade2
52,70,click,2,,,2025-06-28 06:29:09,fba4bac6c519
71,73,click,2,,,2025-04-24 18:43:28,0f3f98b21c7d
61,73,view,1,,,2025-04-18 00:36:59,cc36e037d4f0
103,134,purchase,5,4,positive,2024-11-14 06:24:35,a23f5b94524c
152,131,add_to_cart,3,,,2025-01-08 08:13:31,ac870dc55891
170,133,click,2,,,2025-12-05 09:28:09,9dae2d8752a9
57,172,view,1,,,2024-03-10 23:15:45,2770a555b486
400,106,add_to_cart,3,,,2024-12-20 18:27:36,fc3f2ff9d1e4
152,103,view,1,,,2024-05-15 16:40:39,5251ebdc45e1
448,151,view,1,,,2025-06-09 15:50:33,4a88ef933990
161,140,view,1,,,2025-08-11 21:56:49,a8bd7933fe31
456,108,click,2,,,2024-05-12 10:34:45,651788e40529
169,29,purchase,5,3,neutral,2025-07-23 09:22:37,3ff493059777
48,55,view,1,,,2024-11-07 07:02:03,8b9ad7f57c48
205,70,add_to_cart,3,,,2025-01-06 11:07:59,c6b571cef0a2
410,44,view,1,,,2025-06-24 17:32:49,79e08c597220
372,44,view,1,,,2025-12-08 18:29:52,df94c59af3e2
303,128,view,1,,,2024-10-21 23:04:03,19933c8150f9
399,68,add_to_cart,3,,,2025-07-18 21:27:22,78a63bc47466
499,124,purchase,5,2,negative,2024-11-15 10:53:39,c67d7b9ee321
226,149,click,2,,,2024-01-10 14:24:39,50ff12325d1f
361,135,click,2,,,2025-03-23 21:30:59,701e77177ab1
371,154,click,2,,,2025-06-18 13:45:14,25105c73c97d
359,111,click,2,,,2024-07-12 01:48:39,b853cbc74eab
247,25,view,1,,,2025-10-03 21:55:03,32e70100a6d5
286,157,view,1,,,2025-05-14 17:49:16,f2d60ca28ae7
479,130,add_to_cart,3,,,2024-02-28 03:35:21,fe0479387fd3
385,49,view,1,,,2024-08-04 01:13:29,309169c5c042
26,58,view,1,,,2024-07-01 12:43:03,7f131f1c0e94
41,95,view,1,,,2025-01-22 03:53:45,7416f43b5ec0
229,131,click,2,,,2024-01-14 19:14:26,97a38edd9142
53,69,click,2,,,2024-01-01 03:09:49,c258c9eb5e4a
423,53,add_to_cart,3,,,2025-05-23 10:33:12,abbfef072965
344,55,view,1,,,2024-02-12 03:45:47,280342abb36d
419,195,view,1,,,2025-08-19 01:40:42,6fbe8ec5f238
318,24,click,2,,,2024-03-29 13:32:58,41d44b415dc7
50,57,view,1,,,2024-10-02 20:16:13,8ff659634c92
425,75,click,2,,,2024-10-17 09:49:17,f2b9308bbb5f
360,110,view,1,,,2025-09-30 08:10:58,624a68467c45
368,105,view,1,,,2025-04-19 11:06:08,68b82e585b42
101,125,view,1,,,2025-10-02 10:48:11,f0a7ac12f611
401,121,view,1,,,2024-11-17 22:17:14,e6912815f83f
24,173,click,2,,,2025-08-22 17:49:45,6550d6728176
457,165,view,1,,,2025-01-22 10:50:23,12eb90cb1d22
3,103,click,2,,,2024-12-02 04:10:12,fc5e10181514
430,66,click,2,,,2025-12-07 23:00:45,8ea2d070526e
91,45,click,2,,,2024-04-09 17:12:35,e55f84670e0e
54,153,click,2,,,2024-10-25 18:37:52,a9d834e210c9
215,178,click,2,,,2024-07-31 12:11:48,5fb706b17f4c
204,76,view,1,,,2024-04-13 14:13:52,7d7202275785
71,99,view,1,,,2025-06-28 20:48:06,a2f6de021236
